# Observation File: observation_column_all.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: water content [mol]
# Region: subsurface domain
# Functional: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Functional: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow water content [mol]
# Region: surface domain
# Functional: extensive integral
# Variable: snow-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: evaporation [m s^-1]
# Region: surface domain
# Functional: average
# Variable: surface-evaporative_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface-subsurface flux [mol s^-1]
# Region: surface domain
# Functional: average
# Variable: surface-surface_subsurface_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: precipitation rain [m s^-1]
# Region: surface domain
# Functional: average
# Variable: surface-precipitation_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: precipitation snow [m s^-1]
# Region: surface domain
# Functional: average
# Variable: snow-precipitation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: molar density liquid [mol m^-3]
# Region: surface domain
# Functional: average
# Variable: surface-molar_density_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface area [m^2]
# Region: surface domain
# Functional: extensive integral
# Variable: surface-cell_volume
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow melt [m s^-1]
# Region: surface domain
# Functional: average
# Variable: snow-melt
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface temperature [K]
# Region: surface domain
# Functional: average
# Variable: surface-temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: thaw depth [m]
# Region: surface domain
# Functional: average
# Variable: surface-thaw_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: water table depth [m]
# Region: surface domain
# Functional: average
# Variable: surface-water_table
# Number of Vectors: 1
# =============================================================================
"time [d]","water content [mol]","surface water content [mol]","snow water content [mol]","evaporation [m s^-1]","surface-subsurface flux [mol s^-1]","precipitation rain [m s^-1]","precipitation snow [m s^-1]","molar density liquid [mol m^-3]","surface area [m^2]","snow melt [m s^-1]","surface temperature [K]","thaw depth [m]","water table depth [m]"
0.000000000000e+00,2.767456016336e+11,0.000000000000e+00,5.214317918320e+08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.542424784049e+04,2.688002413326e+05,0.000000000000e+00,2.638297370594e+02,0.000000000000e+00,4.000000000000e+01
1.000000000000e+00,2.767456016336e+11,0.000000000000e+00,5.321651762232e+08,-1.466742802671e-04,0.000000000000e+00,0.000000000000e+00,5.639451432179e-04,5.543951396098e+04,2.688002413326e+05,0.000000000000e+00,2.648587742711e+02,0.000000000000e+00,4.000000000000e+01
2.000000000000e+00,2.767456016336e+11,0.000000000000e+00,5.390506221449e+08,-1.494486403012e-04,0.000000000000e+00,0.000000000000e+00,3.097085377348e-04,5.544393843171e+04,2.688002413326e+05,0.000000000000e+00,2.651822448489e+02,0.000000000000e+00,4.000000000000e+01
3.000000000000e+00,2.767456016336e+11,0.000000000000e+00,5.421297124435e+08,-1.416578268496e-04,0.000000000000e+00,0.000000000000e+00,6.358586967468e-05,5.544601132054e+04,2.688002413326e+05,0.000000000000e+00,2.653384552138e+02,0.000000000000e+00,4.000000000000e+01
4.000000000000e+00,2.767456016336e+11,0.000000000000e+00,5.445031538888e+08,-1.265618955294e-04,0.000000000000e+00,0.000000000000e+00,3.201778912224e-05,5.544702862829e+04,2.688002413326e+05,0.000000000000e+00,2.654163366768e+02,0.000000000000e+00,4.000000000000e+01
5.000000000000e+00,2.767456016336e+11,0.000000000000e+00,5.461034382830e+08,-9.687802361264e-05,0.000000000000e+00,0.000000000000e+00,1.000000000000e-05,5.544777505814e+04,2.688002413326e+05,0.000000000000e+00,2.654739858298e+02,0.000000000000e+00,4.000000000000e+01
6.000000000000e+00,2.767456016336e+11,0.000000000000e+00,5.697534926793e+08,-7.088137590542e-05,0.000000000000e+00,0.000000000000e+00,1.515267379598e-03,5.544869927409e+04,2.688002413326e+05,0.000000000000e+00,2.655458888847e+02,0.000000000000e+00,4.000000000000e+01
7.000000000000e+00,2.767456016336e+11,0.000000000000e+00,5.777032073817e+08,-4.305549154501e-05,0.000000000000e+00,0.000000000000e+00,4.900145227325e-04,5.544913276084e+04,2.688002413326e+05,0.000000000000e+00,2.655798787612e+02,0.000000000000e+00,4.000000000000e+01
8.000000000000e+00,2.767456016336e+11,0.000000000000e+00,5.934910951039e+08,-8.894145421397e-06,0.000000000000e+00,0.000000000000e+00,1.050000000000e-03,5.544963219088e+04,2.688002413326e+05,0.000000000000e+00,2.656191807759e+02,0.000000000000e+00,4.000000000000e+01
9.000000000000e+00,2.767456016336e+11,0.000000000000e+00,5.986051628357e+08,1.968886328681e-05,0.000000000000e+00,0.000000000000e+00,3.625000000000e-04,5.545004791830e+04,2.688002413326e+05,0.000000000000e+00,2.656520306392e+02,0.000000000000e+00,4.000000000000e+01
1.000000000000e+01,2.767456016336e+11,0.000000000000e+00,6.146262129684e+08,4.799707751463e-05,0.000000000000e+00,0.000000000000e+00,1.122500000000e-03,5.545055321770e+04,2.688002413326e+05,0.000000000000e+00,2.656921227828e+02,0.000000000000e+00,4.000000000000e+01
1.100000000000e+01,2.767456016336e+11,0.000000000000e+00,6.203258704630e+08,4.219298445314e-05,0.000000000000e+00,0.000000000000e+00,4.250000000000e-04,5.545000544797e+04,2.688002413326e+05,0.000000000000e+00,2.656487100756e+02,0.000000000000e+00,4.000000000000e+01
1.200000000000e+01,2.767456016336e+11,0.000000000000e+00,6.205665476851e+08,-9.221003249651e-08,0.000000000000e+00,0.000000000000e+00,1.750000000000e-05,5.544808172673e+04,2.688002413326e+05,0.000000000000e+00,2.654981016782e+02,0.000000000000e+00,4.000000000000e+01
1.300000000000e+01,2.767456016336e+11,0.000000000000e+00,6.211090822986e+08,-3.886960089116e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.544479699714e+04,2.688002413326e+05,0.000000000000e+00,2.652474217558e+02,0.000000000000e+00,4.000000000000e+01
